Report_ID,Processor_ID,Agreement_ID,Product_ID,Product_Name,Report_Date,Bulk_Inventory_LBS,LBS_Processed_MTD,Allocation_LBS,Target_LBS_MTD,Days_Held_Inventory
PROC_61015_202510_039,PROC_61015,AGR_2025_1039,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,39587.8,6760.7,93477,7789.75,77
PROC_61002_202510_040,PROC_61002,AGR_2025_1040,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,47774.66,10101.84,116553,9712.75,52
PROC_61020_202510_041,PROC_61020,AGR_2025_1041,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,65361.14,16831.36,165205,13767.08,61
PROC_61013_202510_042,PROC_61013,AGR_2025_1042,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,42242.09,2346.41,90017,7501.42,69
PROC_61014_202510_043,PROC_61014,AGR_2025_1043,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,45119.09,8591.41,108281,9023.42,64
PROC_61002_202510_044,PROC_61002,AGR_2025_1044,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,24489.94,5981.06,61822,5151.83,35
PROC_61015_202510_045,PROC_61015,AGR_2025_1045,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,47161.08,6785.92,108794,9066.17,147
PROC_61001_202510_046,PROC_61001,AGR_2025_1046,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,56423.13,7885.87,129538,10794.83,57
PROC_61011_202510_047,PROC_61011,AGR_2025_1047,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,47514.24,12284.76,120538,10044.83,71
PROC_61014_202510_048,PROC_61014,AGR_2025_1048,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,38888.69,9332.31,97402,8116.83,64
PROC_61004_202510_049,PROC_61004,AGR_2025_1049,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,48660.74,5454.26,109210,9100.83,94
PROC_61020_202510_050,PROC_61020,AGR_2025_1050,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,57738.24,15901.76,148280,12356.67,42
PROC_61013_202510_051,PROC_61013,AGR_2025_1051,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,55201.0,7372.5,126167,10513.92,80
PROC_61010_202510_052,PROC_61010,AGR_2025_1052,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,66428.05,7099.95,148096,12341.33,76
PROC_61013_202510_053,PROC_61013,AGR_2025_1053,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,26854.85,2175.65,59121,4926.75,45
PROC_61020_202510_054,PROC_61020,AGR_2025_1054,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,55489.22,10177.28,132413,11034.42,122
PROC_61011_202510_055,PROC_61011,AGR_2025_1055,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,21611.11,3401.39,51125,4260.42,30
PROC_61006_202510_056,PROC_61006,AGR_2025_1056,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,38696.02,6657.98,91828,7652.33,71
PROC_61017_202510_057,PROC_61017,AGR_2025_1057,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,29371.07,1810.43,63503,5291.92,44
PROC_61008_202510_058,PROC_61008,AGR_2025_1058,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,40291.97,4239.03,90222,7518.5,83
PROC_61008_202510_059,PROC_61008,AGR_2025_1059,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,20479.61,4581.39,51302,4275.17,51
PROC_61008_202510_060,PROC_61008,AGR_2025_1060,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,66483.96,15617.54,165403,13783.58,42
PROC_61003_202510_061,PROC_61003,AGR_2025_1061,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,78439.87,7464.63,173029,14419.08,34
PROC_61007_202510_062,PROC_61007,AGR_2025_1062,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,46175.34,7110.16,107811,8984.25,57
PROC_61019_202510_063,PROC_61019,AGR_2025_1063,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,37567.43,7725.57,91846,7653.83,81
PROC_61007_202510_064,PROC_61007,AGR_2025_1064,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,58279.36,7958.64,133756,11146.33,52
PROC_61012_202510_065,PROC_61012,AGR_2025_1065,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,27862.41,4870.09,66765,5563.75,53
PROC_61018_202510_066,PROC_61018,AGR_2025_1066,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,28533.6,3068.4,64524,5377.0,80
PROC_61005_202510_067,PROC_61005,AGR_2025_1067,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,59002.31,1192.69,121730,10144.17,32
PROC_61005_202510_068,PROC_61005,AGR_2025_1068,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,49063.08,6826.92,113140,9428.33,89
PROC_61009_202510_069,PROC_61009,AGR_2025_1069,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,36920.19,9569.31,94359,7863.25,57
PROC_61019_202510_070,PROC_61019,AGR_2025_1070,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,49480.03,7540.47,115441,9620.08,39
PROC_61006_202510_071,PROC_61006,AGR_2025_1071,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,57996.39,14365.61,146144,12178.67,30
PROC_61011_202510_072,PROC_61011,AGR_2025_1072,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,38101.8,7727.7,93099,7758.25,79
PROC_61019_202510_073,PROC_61019,AGR_2025_1073,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,30614.59,930.91,64551,5379.25,76
PROC_61005_202510_074,PROC_61005,AGR_2025_1074,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,37428.3,8467.2,93271,7772.58,150
PROC_61007_202510_075,PROC_61007,AGR_2025_1075,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,35925.66,6633.84,86619,7218.25,53
PROC_61016_202510_076,PROC_61016,AGR_2025_1076,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,44937.21,11240.79,113876,9489.67,142
PROC_61012_202510_077,PROC_61012,AGR_2025_1077,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,46732.51,3400.49,101806,8483.83,97
PROC_61009_202510_078,PROC_61009,AGR_2025_1078,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,33866.78,8259.72,85813,7151.08,40
PROC_61012_202510_079,PROC_61012,AGR_2025_1079,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,59040.76,10980.24,141622,11801.83,33
PROC_61007_202510_080,PROC_61007,AGR_2025_1080,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,56817.8,12284.2,139804,11650.33,57
PROC_61020_202510_081,PROC_61020,AGR_2025_1081,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,65961.52,1400.98,136345,11362.08,70
PROC_61004_202510_082,PROC_61004,AGR_2025_1082,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,49451.93,1302.07,103148,8595.67,32
PROC_61011_202510_083,PROC_61011,AGR_2025_1083,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,47771.77,10394.73,117993,9832.75,49
PROC_61011_202510_084,PROC_61011,AGR_2025_1084,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,49160.38,7514.62,115030,9585.83,55
PROC_61009_202510_085,PROC_61009,AGR_2025_1085,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,39188.53,7139.47,94356,7863.0,49
PROC_61002_202510_086,PROC_61002,AGR_2025_1086,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,55955.58,5724.42,125080,10423.33,71
PROC_61002_202510_087,PROC_61002,AGR_2025_1087,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,53663.92,7764.58,124597,10383.08,131
PROC_61011_202510_088,PROC_61011,AGR_2025_1088,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,44348.51,4561.99,99581,8298.42,83
PROC_61004_202510_089,PROC_61004,AGR_2025_1089,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,46540.6,1245.4,97352,8112.67,90
PROC_61011_202510_090,PROC_61011,AGR_2025_1090,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,38208.84,6702.66,91623,7635.25,52
PROC_61010_202510_091,PROC_61010,AGR_2025_1091,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,53716.34,5346.66,119946,9995.5,43
PROC_61007_202510_092,PROC_61007,AGR_2025_1092,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,45783.46,5692.04,104791,8732.58,74
PROC_61002_202510_093,PROC_61002,AGR_2025_1093,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,51386.33,1458.17,107549,8962.42,53
PROC_61009_202510_094,PROC_61009,AGR_2025_1094,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,32497.92,4619.58,76115,6342.92,82
PROC_61005_202510_095,PROC_61005,AGR_2025_1095,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,45439.72,2568.28,97916,8159.67,89
PROC_61004_202510_096,PROC_61004,AGR_2025_1096,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,85194.85,10618.65,193547,16128.92,53
PROC_61020_202510_097,PROC_61020,AGR_2025_1097,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,48223.16,6661.84,111710,9309.17,49
PROC_61002_202510_098,PROC_61002,AGR_2025_1098,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,57934.36,2015.64,121860,10155.0,85
PROC_61012_202510_099,PROC_61012,AGR_2025_1099,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,39349.21,6315.29,93309,7775.75,80
PROC_61012_202510_100,PROC_61012,AGR_2025_1100,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,22003.69,4253.31,54514,4542.83,52
PROC_61007_202510_101,PROC_61007,AGR_2025_1101,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,87195.15,10967.35,198345,16528.75,109
PROC_61013_202510_102,PROC_61013,AGR_2025_1102,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,48284.72,3963.78,106537,8878.08,51
PROC_61004_202510_103,PROC_61004,AGR_2025_1103,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,75787.64,7315.86,168267,14022.25,36
PROC_61012_202510_104,PROC_61012,AGR_2025_1104,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,49314.7,12810.8,126331,10527.58,137
PROC_61010_202510_105,PROC_61010,AGR_2025_1105,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,38527.63,1641.87,82439,6869.92,89
PROC_61012_202510_106,PROC_61012,AGR_2025_1106,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,29303.45,5889.55,72506,6042.17,81
PROC_61020_202510_107,PROC_61020,AGR_2025_1107,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,33948.56,6773.44,83584,6965.33,30
PROC_61018_202510_108,PROC_61018,AGR_2025_1108,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,32600.9,6523.6,80409,6700.75,85
PROC_61011_202510_109,PROC_61011,AGR_2025_1109,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,55560.31,7626.69,128554,10712.83,39
PROC_61012_202510_110,PROC_61012,AGR_2025_1110,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,48657.0,8971.5,117457,9788.08,63
PROC_61015_202510_111,PROC_61015,AGR_2025_1111,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,49813.51,10848.49,123544,10295.33,61
PROC_61009_202510_112,PROC_61009,AGR_2025_1112,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,35907.7,7049.3,88154,7346.17,55
PROC_61016_202510_113,PROC_61016,AGR_2025_1113,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,43819.3,9788.7,109476,9123.0,95
PROC_61010_202510_114,PROC_61010,AGR_2025_1114,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,63977.86,1349.14,132934,11077.83,57
PROC_61013_202510_115,PROC_61013,AGR_2025_1115,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,77711.9,11324.1,180372,15031.0,135
PROC_61017_202510_116,PROC_61017,AGR_2025_1116,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,79361.5,6825.0,174693,14557.75,98
PROC_61011_202510_117,PROC_61011,AGR_2025_1117,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,38929.77,6326.73,92853,7737.75,32
PROC_61003_202510_118,PROC_61003,AGR_2025_1118,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,48918.61,6735.39,113668,9472.33,34
PROC_61007_202510_119,PROC_61007,AGR_2025_1119,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,32096.56,1461.94,69497,5791.42,85
PROC_61011_202510_120,PROC_61011,AGR_2025_1120,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,44971.75,5337.25,103018,8584.83,72
PROC_61006_202510_121,PROC_61006,AGR_2025_1121,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,55401.15,15042.35,143307,11942.25,46
PROC_61006_202510_122,PROC_61006,AGR_2025_1122,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,45364.95,7798.05,108766,9063.83,68
PROC_61007_202510_123,PROC_61007,AGR_2025_1123,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,50115.43,12243.57,127178,10598.17,73
PROC_61005_202510_124,PROC_61005,AGR_2025_1124,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,47166.87,3200.63,103215,8601.25,73
PROC_61017_202510_125,PROC_61017,AGR_2025_1125,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,35244.67,6709.33,86408,7200.67,127
PROC_61012_202510_126,PROC_61012,AGR_2025_1126,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,45933.16,6151.34,106689,8890.75,113
PROC_61020_202510_127,PROC_61020,AGR_2025_1127,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,46826.62,6870.88,109935,9161.25,62
PROC_61015_202510_128,PROC_61015,AGR_2025_1128,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,42020.22,7605.28,101811,8484.25,72
PROC_61003_202510_129,PROC_61003,AGR_2025_1129,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,89317.46,7980.54,197176,16431.33,43
PROC_61002_202510_130,PROC_61002,AGR_2025_1130,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,48269.03,7723.97,114586,9548.83,82
PROC_61011_202510_131,PROC_61011,AGR_2025_1131,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,28663.59,6388.41,72724,6060.33,38
PROC_61018_202510_132,PROC_61018,AGR_2025_1132,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,73268.35,17028.65,183234,15269.5,67
PROC_61005_202510_133,PROC_61005,AGR_2025_1133,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,84553.98,11157.02,194082,16173.5,67
PROC_61020_202510_134,PROC_61020,AGR_2025_1134,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,50874.61,7295.39,119020,9918.33,50
PROC_61001_202510_135,PROC_61001,AGR_2025_1135,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,60747.79,11486.71,147169,12264.08,127
PROC_61003_202510_136,PROC_61003,AGR_2025_1136,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,27790.84,7720.16,73742,6145.17,75
PROC_61009_202510_137,PROC_61009,AGR_2025_1137,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,25071.12,4972.88,62828,5235.67,45
PROC_61005_202510_138,PROC_61005,AGR_2025_1138,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,36135.06,1204.44,77439,6453.25,39
PROC_61011_202510_139,PROC_61011,AGR_2025_1139,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,32934.59,9341.41,87332,7277.67,40
PROC_61019_202510_140,PROC_61019,AGR_2025_1140,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,35545.54,7293.46,88478,7373.17,31
PROC_61018_202510_141,PROC_61018,AGR_2025_1141,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,88842.09,3106.41,186717,15559.75,141
PROC_61011_202510_142,PROC_61011,AGR_2025_1142,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,22598.16,5430.34,58897,4908.08,79
PROC_61009_202510_143,PROC_61009,AGR_2025_1143,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,59997.27,13713.73,150282,12523.5,98
PROC_61008_202510_144,PROC_61008,AGR_2025_1144,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,81387.75,12665.25,190986,15915.5,61
PROC_61002_202510_145,PROC_61002,AGR_2025_1145,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,49553.49,9101.51,120210,10017.5,44
PROC_61016_202510_146,PROC_61016,AGR_2025_1146,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,48430.71,9379.79,118541,9878.42,145
PROC_61009_202510_147,PROC_61009,AGR_2025_1147,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,47509.44,4814.56,107588,8965.67,62
PROC_61001_202510_148,PROC_61001,AGR_2025_1148,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,58691.47,11754.53,143852,11987.67,46
PROC_61004_202510_149,PROC_61004,AGR_2025_1149,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,62404.83,10269.67,148329,12360.75,40
